requested_hot_wall_temperature_K,cea_wall_temperature_K,wall_enthalpy_J_per_kg,wall_conductivity_W_per_m_K,wall_cp_J_per_kg_K,reference_enthalpy_J_per_kg,reference_temperature_K,reference_conductivity_W_per_m_K,reference_cp_J_per_kg_K,reference_viscosity_Pa_s,reference_Prandtl,solid_water_mole_fraction,liquid_water_mole_fraction
180.0,180.0,-15669364.52223139,0.11791590363284002,13393.765796965678,-11261162.64652705,834.4095859974412,0.14765978752213368,2852.4132817201507,3.16793878783686e-05,0.6119655747674556,0.6620775776820794,0.0
180.05,180.05,-15669253.313385524,0.11794821185984368,13394.302021361505,-11261107.042104118,834.4291567115177,0.14766312052699168,2852.427501588325,3.1680117911817044e-05,0.6119689145314369,0.6620775776820794,0.0
180.10000000000002,180.10000000000002,-15669142.104539655,0.11798052893910135,13394.838267225277,-11261051.437681183,834.4483710116101,0.14766639283630253,2852.4414625921713,3.168083464541006e-05,0.6119721933769487,0.6620775776820794,0.0
180.15000000000003,180.15000000000003,-15669030.895693788,0.11801285487303852,13395.374534557852,-11260995.833258249,834.4679410557263,0.1476697257375991,2852.4556822138525,3.168156464412856e-05,0.611975532826227,0.6620775776820794,0.0
180.20000000000005,180.20000000000005,-15668919.686847921,0.1180451896640813,13395.910823360085,-11260940.228835315,834.4875109922332,0.1476730586273006,2852.4699018948227,3.168229463391749e-05,0.611978872153638,0.6620775776820794,0.0
180.25000000000006,180.25000000000006,-15668808.478002055,0.11807753331465648,13396.447133632842,-11260884.624412382,834.5070808312706,0.14767639150713,2852.484121642405,3.168302461515504e-05,0.6119822113609257,0.6620775776820794,0.0
180.30000000000007,180.30000000000007,-15668697.269156186,0.11810988582719152,13396.983465376981,-11260829.019989448,834.5262947500913,0.14767966377781747,2852.4980829066058,3.1683741315309006e-05,0.6119854897367606,0.6620775776820794,0.0
180.35000000000008,180.35000000000008,-15668586.060310319,0.11814224720411455,13397.519818593362,-11260773.415566515,834.5458644057993,0.1476829966397628,2852.512302793409,3.168447127996645e-05,0.6119888287076803,0.6620775776820794,0.0
180.4000000000001,180.4000000000001,-15668474.851464452,0.11817461744785435,13398.05619328284,-11260717.81114358,834.5654339538677,0.14768632949010638,2852.526522739461,3.168520123569331e-05,0.6119921675567617,0.6620775776820794,0.0
180.4500000000001,180.4500000000001,-15668363.642618585,0.11820699656084036,13398.592589446282,-11260662.206720646,834.585003404422,0.1476896623305691,2852.5407427520804,3.168593118286736e-05,0.6119955062857478,0.6620775776820794,0.0
180.5000000000001,180.5000000000001,-15668252.433772717,0.11823938454550272,13399.12900708454,-11260606.602297712,834.60457275739,0.14769299516114529,2852.5549628312865,3.168666112148588e-05,0.6119988448946206,0.6620775776820794,0.0
180.55000000000013,180.55000000000013,-15668141.22492685,0.1182717814042722,13399.665446198482,-11260550.99787478,834.6237861990338,0.14769626738347777,2852.568924421041,3.1687377779797906e-05,0.6120021226829795,0.6620775776820794,0.0
180.60000000000014,180.60000000000014,-15668030.016080983,0.11830418713958026,13400.201906788961,-11260495.393451847,834.6433553687638,0.14769960019617864,2852.583144639454,3.1688107701840026e-05,0.6120054610555894,0.6620775776820794,0.0
180.65000000000015,180.65000000000015,-15667918.807235116,0.11833660175385902,13400.738388856838,-11260439.789028913,834.6629244307977,0.14770293299726733,2852.597364917063,3.168883761494971e-05,0.6120087993063932,0.6620775776820794,0.0
180.70000000000016,180.70000000000016,-15667807.598389247,0.11836902524954125,13401.274892402977,-11260384.184605978,834.6824933953828,0.1477062657884864,2852.6115852612866,3.168956751950913e-05,0.6120121374371513,0.6620775776820794,0.0
180.75000000000017,180.75000000000017,-15667696.38954338,0.1184014576290604,13401.811417428233,-11260328.580183044,834.7020622623656,0.14770959856980923,2852.6258056720053,3.169029741551265e-05,0.6120154754478458,0.6620775776820794,0.0
180.80000000000018,180.80000000000018,-15667585.180697514,0.11843389889485059,13402.347963933467,-11260272.975760112,834.7212752268053,0.14771287074377978,2852.6397675872645,3.169101403198261e-05,0.6120187526489224,0.6620775776820794,0.0
180.8500000000002,180.8500000000002,-15667473.971851647,0.11846634904934661,13402.884531919542,-11260217.37133718,834.7408439105411,0.14771620350722556,2852.653988137179,3.169174391140973e-05,0.6120220904234311,0.6620775776820794,0.0
180.9000000000002,180.9000000000002,-15667362.763005778,0.1184988080949839,13403.421121387315,-11260161.766914245,834.7604124866383,0.14771953625906895,2852.6682087463328,3.1692473781906733e-05,0.6120254280761837,0.6620775776820794,0.0
180.95000000000022,180.95000000000022,-15667251.554159911,0.1185312760341986,13403.957732337649,-11260106.16249131,834.7799809652299,0.14772286900103174,2852.6824294220346,3.1693203643851575e-05,0.6120287656089209,0.6620775776820794,0.0
181.00000000000023,181.00000000000023,-15667140.345314045,0.11856375286942747,13404.494364771399,-11260050.558068376,834.7991935484075,0.14772614113636637,2852.6963915974798,3.169392022688474e-05,0.6120320423407789,0.6620775776820794,0.0
181.05000000000024,181.05000000000024,-15667029.136468176,0.11859623860310796,13405.031018689431,-11259994.953645442,834.8187618436463,0.14772947386043175,2852.710612412275,3.1694650072249535e-05,0.61203537963738,0.6620775776820794,0.0
181.10000000000025,181.10000000000025,-15666917.927622309,0.1186287332376782,13405.5676940926,-11259939.34922251,834.8383300313448,0.14773280657290802,2852.724833286339,3.169537990868802e-05,0.6120387168122788,0.6620775776820794,0.0
181.15000000000026,181.15000000000026,-15666806.718776442,0.118661236775577,13406.10439098177,-11259883.744799577,834.8578981215211,0.14773613927550147,2852.7390542269486,3.169610973657382e-05,0.6120420538671901,0.6620775776820794,0.0
181.20000000000027,181.20000000000027,-15666695.509930575,0.11869374921924378,13406.641109357797,-11259828.140376642,834.877466114104,0.1477394719681994,2852.7532752340503,3.169683955590436e-05,0.6120453908021126,0.6620775776820794,0.0
181.25000000000028,181.25000000000028,-15666584.301084707,0.11872627057111867,13407.177849221547,-11259772.535953708,834.8966782200704,0.1477427440551549,2852.767237734798,3.169755609709681e-05,0.6120486669470631,0.6620775776820794,0.0
181.3000000000003,181.3000000000003,-15666473.09223884,0.11875880083364249,13407.714610573876,-11259716.931530774,834.916246029425,0.14774607672997345,2852.78145888104,3.1698285899852336e-05,0.6120520036459536,0.6620775776820794,0.0
181.3500000000003,181.3500000000003,-15666361.883392973,0.1187913400092567,13408.251393415645,-11259661.327107841,834.9358137311664,0.14774940939318912,2852.7956800864818,3.169901569367897e-05,0.6120553402231712,0.6620775776820794,0.0
181.40000000000032,181.40000000000032,-15666250.674547106,0.1188238881004034,13408.788197747715,-11259605.722684909,834.9553813353276,0.14775274204651298,2852.8099013584415,3.1699745478951e-05,0.6120586766804316,0.6620775776820794,0.0
181.45000000000033,181.45000000000033,-15666139.465701237,0.11885644510952542,13409.325023570946,-11259550.118261974,834.9749488419543,0.14775607468994595,2852.824122696866,3.170047525567011e-05,0.6120620130177598,0.6620775776820794,0.0
181.50000000000034,181.50000000000034,-15666028.25685537,0.11888901103906623,13409.861870886198,-11259494.51383904,834.9941604708423,0.14775934672853877,2852.838085522937,3.1701191755027676e-05,0.6120652885760294,0.6620775776820794,0.0
181.55000000000035,181.55000000000035,-15665917.048009504,0.11892158589146994,13410.398739694332,-11259438.909416106,835.0137277942348,0.14776267935409046,2852.852307000486,3.170192151517189e-05,0.6120686246774045,0.6620775776820794,0.0
181.60000000000036,181.60000000000036,-15665805.839163637,0.11895416966918139,13410.93562999621,-11259383.304993173,835.0332950100201,0.14776601196804093,2852.8665285372463,3.170265126638767e-05,0.6120719606571475,0.6620775776820794,0.0
181.65000000000038,181.65000000000038,-15665694.630317768,0.11898676237464605,13411.47254179269,-11259327.700570239,835.0528621282479,0.14776934457209634,2852.880750140453,3.1703381009049815e-05,0.6120752965169866,0.6620775776820794,0.0
